;date;message
479;28.05.2021;"«Есть наша новая стратегия, что Крым не сэндвич — это мандарин».

Пранкер Лексус во время разговора с нидерландскими парламентариями от лица Волкова рассказал им о «новой стратегии» по поводу Крыма:

«Волков»: Сейчас мы хотим сделать нашу позицию ясной. Может быть, вы слышали его [Навального] последнюю речь по Крыму. Он сказал, что Крым — это сэндвич, по-русски — бутерброд. 

Но есть наша новая стратегия, что Крым не сэндвич — это мандарин. Вы можете делиться им со всеми людьми. Мы делим его, как в русской песне: «Мы делили мандарин, эта долька — для зайца, эта долька — для волка». Это ясно сейчас: мы хотим отдать им Крым, нам он не нужен.

Парламентарий: А как вы думаете, российское население поддерживает эту идею — вернуть Крым Украине?

«Волков»: Мы не переживаем по поводу мнения всей страны.

Фейковый Волков также рассказал, что в прошлом они с Навальным были скинхедами и дрались «с мигрантами и африканцами»"
480;26.05.2021;"Власти и в прошлом, и в текущем году прилагают немало усилий для материальной поддержки семей с детьми и стимулирования рождаемости. На днях министр труда и соцзащиты А. Котяков напомнил, что более 650 млрд рублей в 2020 году были направлены на выплаты семьям с детьми. По его словам, весь объем господдержки составил более 10 трлн рублей, что на 17% превышает уровень 2019 года.

Но вот незадача: несмотря на все вливания, демографические показатели продолжают ухудшаться. Росстат в конце апреля опубликовал данные за январь-февраль 2021 года. Из них следует, что за этот период детей родилось на 18,5 тыс. меньше, чем за тот же период 2020 года. Надежды на то, что самоизоляция будет способствовать росту рождаемости, не оправдались.

В целом по стране рост рождаемости сохраняется только в 7 субъектах из 85: Москва, Тыва, Дагестан, Чукотка, Северная Осетия, Хакасия и Псковская область. Причем в последних четырех регионах изменения незначительные: прирост составил от 4 до 17 детей. При этом число смертей по-прежнему растет, во всех регионах без исключения. В целом, в январе-феврале 2021 года умерших было на 85 тыс. больше, чем за аналогичный период 2020 года.

В результате, численность населения продолжает сокращаться, и сейчас это происходит в 3 раза быстрее, чем было до пандемии. Внешняя миграция ситуацию не спасает. Ее масштабы с начала года увеличились, но пока не достигли допандемийных значений.

Вот и получается, что в отчетах все гладко: социальная поддержка всем, кому следует, оказана, и объемы вливаний впечатляют. Но в реальной жизни все совсем не так радужно."
481;25.05.2021;"​​The New York Times: dogecoin-миллионер, который не продаёт свою валюту

Гловер Контессото был обычным 33-летним миллениалом из семьи бразильских эмигрантов, перебивающимся заработком на низкооплачиваемой работе и мечтающем о своём доме лёжа на диване. Когда он внезапно собрал все свои сбережения, залез в долги и купил на весь кэш цифровую валюту-мем, его друзья решили, что Гловер сошёл с ума. Но сумасшедшей оказалась сама реальность - всего за несколько месяцев Dogecoin вырос в десятки раз, а Контессото проснулся долларовым миллионером. Фантастическая удача сродни выигрышу в казино? Возможно. Но Гловер утверждает, что за его действиями стоит чёткий расчёт, основанный на новой философии онлайн-торговли и природе цифровых денег.

Всем, кто интересуется криптовалютами и биржевой торговлей - советуем ознакомиться с этой увлекательной историей. Но в то же время предупреждаем: не совершайте ультрарискованных инвестиций и не вкладывайте в торговлю заёмные деньги. Приятного чтения!

«Эти инвесторы, в основном молодые люди, не ведут себя рационально в старомодном смысле Homo economicus. Они выбирают инвестиции не на основе фундаментальных принципов или оценок аналитиков Уолл-стрит, а руководствуясь другими критериями, такими как насколько они забавны, футуристичны или сколько знаменитостей пишут о них в Твиттере. Их философия заключается в том, что в сегодняшнем мире, насыщенном средствами массовой информации, внимание является самым ценным товаром из всех, и все, что привлекает его в значительной степени, должно чего-то стоить. «Мемы — это язык миллениалов» - говорит Контессото. «Теперь мы собираемся сделать мемы валютой».

https://theidealist.ru/dogecoin/

#NYTimes #общество #технологии #криптовалюты #инвестиции #финансы #Dogecoin #ИлонМаск"
482;25.05.2021;"🇷🇺 Заключенные на стройках вместо мигрантов. Проект поддержал Минюст и СК.

В ведомствах положительно оценили предложение ФСИН использовать труд осужденных.

Сейчас около 180 тысяч заключенных имеют право на замену лишения свободы исправительными работами.

Всего на февраль 2021 в России было 378,6 тысяч заключенных.

В апреле этого года Минстрой заявлял о нехватке на стройках 600 тысяч рабочих.

По данным Росстата в доковидный 2018-й, в строительной отрасли трудилось 6,4 млн человек, до 20% из них (1,28 млн) — граждане Узбекистана и Таджикистана.

@SputnikLive"
483;25.05.2021;Мигранты в Якутске устроили массовую драку
484;24.05.2021;"К 1 мая размер Фонда национального благосостояния достиг 13 трлн 825,43 млрд руб. Это превышает 12% прогнозного ВВП страны по прогнозам Минфина в 2021 году. Расходовать резервы главной «кубышки» планировали сугубо на самоокупаемые инфраструктурные проекты, когда размер ФНБ превысит 7% ВВП. Теоретически до  трлн рублей средств ФНБ можно было инвестировать уже сегодня, однако власти тянут с окончательным решением. 
 
Желающих получить соинвестирование из ФНБ оказалось множество по причине того, что это гораздо выгоднее, чем кредитоваться в банках. К примеру, железнодорожный монополист РЖД ожидает получит до 100 млрд рублей на модернизацию Транссиба и БАМа. В частности, монополия хочет получить средства на строительство железнодорожных выходов из Якутии по ставке в размере инфляции плюс 1%, то есть 5-6% годовых. Про самокупаемость в проекте нет ни слова, но компания просит оплатить не менее 25% процентов от общей стоимости, которая в зависимости от электрификации составляет 350-700 млрд рублей. Однако учитывая социальную инфраструктурную полезность проекта кредитование РЖД в ФНБ может оказаться еще выгоднее, чем ожидается.
 
Впрочем и это не предел — ранее стало известно, что чиновники всерьез рассматривают вопрос о привлечении к работам на Транссибе и БАМе заключенных. Оправданием служат нехватка трудовых мигрантов и средств для найма российских гражданских сотрудников при значительном масштабе работ. И это не пустые фантазии, а четкое намерение, укладывающееся в логику РЖД времен СССР. Это становится очевидным, если вспомнить, что с апреля к строительству второй ветки БАМа приступили подразделения Пятой отдельной бригады железнодорожных войск. @banksta"
485;24.05.2021;"Мозговой штурм

Боже, я так долго хотел это сказать, но мне казалось, что это нельзя произносить вслух, если ты не болен раком или не сбежал в иммиграцию.

Короче, самая переоцененная и бессмысленная хуета на свете - это мозговой штурм. 

Да, я теперь свободен! Я это произнес! 

Мозговой штурм не работает. Он не помогает придумать хорошие идеи. Он нахуй вообще не всрался. Не нужно на него тратить время. Может, он был нужен в 1950-м году, когда все боялись пукнуть, но сегодня, если ты хочешь получить поверхностную малокалорийную социологию, можешь просто зайти в Яндекс с любым запросом.

Короче, просто не нужно тратить ни одной секунды на мозговые штурмы, чтобы не проебывать время и силы впустую."
486;24.05.2021;"Главные новости к началу дня:

— глава Минюста Константин Чуйченко, комментируя идею о замещении трудовых мигрантов заключёнными, назвал инициативу правильной;

— госсекретарь США Энтони Блинкен заявил, что Вашингтон решительно осуждает инцидент с посадкой самолёта Ryanair в Минске;

— всего в мире зафиксировано 166 346 635 случаев заболевания коронавирусной инфекцией, свидетельствуют данные Всемирной организации здравоохранения"
487;24.05.2021;"Глава Минюста РФ поддержал идею использования труда заключенных на стройках. По словам Константина Чуйченко, «можно создавать исправительные центры на крупных стройках, на крупных объектах, и лица, которые отбывают наказание, они обладают квалификацией, чтобы выполнять эту работу». 

По его словам, интерес представляют «крупные инвестиционные проекты», где может использоваться не менее тысячи заключенных, однако в настоящее время таких проектов нет. ФСИН считает, что зэки, которые будут трудиться на стройках, станут отличной заменой мигрантам из Средней Азии и других стран."
488;22.05.2021;"Сегодня пройдёт финал ""Евровидения"".

Из стран ближнего зарубежья в финал прошли Россия, Азербайджан, Литва, Молдова и Украина.

Трансляция начнётся в 22:00 по Москве.

Подробнее об участниках — в нашем видео.

@SputnikLive"
489;22.05.2021;"В МВД обсуждается введение режима «Контролируемого пребывания» для некоторых мигрантов, которые находятся незаконно в стране

http://amp.gs/bENC"
490;22.05.2021;"Политические итоги недели ДФО. Эксперты БАМ представляют рейтинг по итогам 15-21 мая.

Губернаторы-лидеры
1. Губернатор Сахалинской области Валерий Лимаренко. Получил публичную поддержку от Трутнева, который заявил, что Лимаренко «работает хорошо» и «оснований для крупных кадровых перестановок нет». В ходе рабочего визита полпред встретился с инвесторами и попросил правительство региона помочь с реализацией проектов - марикультурного хаба в лагуне Буссе, ветропарка в Углегорском районе, завода по производству рыбной муки и рыбьего жира на Кунашире и ряда других. Хотя Лимаренко надо что-то делать с заоблачными ценами на жилье.
2. Глава Якутии Айсен Николаев. Провел совещание с участием гендиректора «РусГидро» Хмарина, который озвучил планы по расширению Нерюнгринской ГРЭС и строительству второй очереди Якутской ГРЭС-2. Вместе с главой алмазного гиганта «Алроса» Ивановым Николаев подписал договор о социально-экономическом развитии Якутии до 2025 года. На соцпроекты «Алроса» направит 700 млн рублей в этом году, затем не менее 800 млн рублей ежегодно. Однако портит настроение главе Якутии «третья волна ковида» - регион в российских антилидерах по числу случаев ковида на 100 тыс. населения за последние две недели. 
3. Глава Бурятии Алексей Цыденов. Регион укрепляет сотрудничество с «Русскими Вертолетными Системами» - Улан-Удэнский авиационный завод при участии Цыденова подписал контракт с «РВС» на сборку легких вертолетов VRT500. На фоне «третьей волны» ковида Цыденов не только напомнил жителям о своем личном примере вакцинации, но и распорядился о мерах поддержки медиков – за счет бюджета власти оплатят сельским медикам долг по ипотеке и проценты. С начала года госдолг Бурятии сократился на 3,6 млрд рублей.

Губернаторы-неудачники
1. Губернатор Приморского края Олег Кожемяко. Очередной визит полпреда Трутнева в Приморье расставил все точки над i – Кожемяко долго тянул с отставкой неэффективного мэра Владивостока Гуменюка, и этого «туза в рукаве» разыграл Трутнев. Царящий в столице ДФО хаос теперь целиком на плечах Кожемяко, Гуменюком уже не прикрыться. Сильно ударил по репутации Кожемяко и вышедший на федеральный уровень скандал с праймериз – «губернаторскому кандидату» Щербакову противостояла местный депутат Чемерис, в итоге она сняла свою кандидатуру и вышла из ЕР после совершенных против нее «атак» в духе «черного пиара» с приветом из лихих 90-х.  
2. Врио губернатора Хабаровского края Михаил Дегтярев. Снова молодой «сокол Жириновского» отметился перлами. Дегтярев неоднократно делал выпады в адрес Приморья – теперь он заявил, что «хватит развивать одно только Приморье». По демографической проблеме тоже мощно высказался - мол, на уровне краевого правительства нужно запретить обсуждение темы миграции, якобы такие разговоры вынуждают хабаровчан уезжать из региона. Скрасило картину лишь присвоение Комсомольску-на-Амуре звания «Город трудовой доблести».
3. Губернатор Амурской области Василий Орлов. Приамурье попало в 20-ку регионов, проваливших поручение Путина по созданию технопарков и индустриальных парков. В свое время «постарался на славу» Кожемяко, но Орлову отвечать за это «наследство». Вдобавок ситуация с паводком в регионе остается тревожной. 

Топ-3 события недели
1. Рабочие визиты полпреда Трутнева в Приморье и на Сахалин. В ходе осмотра объектов в обоих регионах полпред высказал критику в адрес местных властей – на строящейся верфи «Звезда» его не устроили темпы строительства жилья и соцобъектов, а также состояние сетей, сахалинским чиновникам досталось за высокую стоимость жилья и «негативную историю» с расселением аварийного жилфонда.
2. Досрочная отставка мэра Владивостока Гуменюка. Трутнев прямым текстом показал ему на дверь. Гуменюк провалил всю хозяйственную работу во Владивостоке, сильно подставив покровительствовавшего ему Кожемяко.
3. Магадан и Комсомольск-на-Амуре удостоены звания «Город трудовой доблести». Почти год власти двух регионов лоббировали вопрос на федеральном уровне, в итоге справедливость восторжествовала."
491;21.05.2021;"В российских местах лишения свободы практикуется привлечение заключенных к труду в обмен на послабления и льготы во время отбывания срока заключения. Это осуществляется согласно международным конвенциям о запрещении рабства и принудительного труда, которые делают исключения и допускают принуждение к труду в качестве наказания, назначенного по приговору суда (или составной части такого наказания). Поэтому на территориях ИТК заключенные сами пекут хлеб, готовят себе еду, сами проводят ремонтные и строительные работы на территории колонии, трудятся в швейных и столярных цехах, но не более того.
 
Оппозиционерам, дружно запричитавшим о якобы грозящих «ужасах ГУЛАГа» можно указать на реальную цель для критики, находящуюся за океаном. Важно напомнить о существовании в США широкой практики частных тюрем, чьи акции даже продаются на бирже. Например, оборот Коррекционной корпорации Америки, или CoreCivic Inc. оценивается в 1,8 миллиарда долларов. Эти компании активно используют рабский труд заключенных, начав с отправок их на хлопковые плантации по программе convict leasing и заканчивая недавним скандалом при администрации Трампа, когда нелегальных мигрантов наполнивших тюрьмы США стали использовать для принудительного труда."
492;20.05.2021;Администрация Байдена закроет два иммиграционных центра содержания под стражей в Джорджии и Массачусетсе, которые находятся под федеральным расследованием по обвинению в жестоком обращении с задержанными иммигрантами, в том числе центр содержания под стражей округа Ирвин в Джорджии, где многие женщины заявили, что пострадали от медицинских злоупотреблений.
493;20.05.2021;"К вопросу об инициативе директора ФСИН о труде заключённых вместо мигрантов добавлю и свои пять копеек. 

Работа в тюрьме - привилегия. 

Во-первых, можно заработать на звонки родным, магазин, оплатить штрафы и претендовать на УДО, как следствие последнего. 

Во-вторых, время идёт быстрее и с пользой: можно получить навыки и даже профессию, что увеличивает шансы на ресоциализацию. 

В-третьих, часто работодатели - местные предприниматели малых городов, которые часть производства размещают на зонах, как следствие - региону плюс, налоговые сборы и занятость на других участках свободных граждан, не говоря уже о самих выгодах предпринимателя. 

В-четвёртых, снижение социальной напряжённости на зонах. 

И это далеко не полный перечень. 

Уберите эмоции, передергивания и задумайтесь. 

https://russian.rt.com/russia/news/863848-kreml-trud-zaklyuchyonnyh"
494;20.05.2021;"Испанские военные гоняют БТРами марокканских мигрантов по пляжами Сеуты.
#Испания

@new_militarycolumnist"
495;20.05.2021;"В МВД не исключают, что сроки пребывания в стране мигрантов, которые не могут уехать из-за коронавируса, будут продлены

https://echo.msk.ru/news/2841062-echo.html"
496;20.05.2021;"Губернаторский дайджест ДФО. Обзор от экспертов БАМа за 20 мая.

🔹Хабаровский край (врио губернатора Дегтярев). «Сокол Жириновского» снова чудит – на форуме «ProДФО - Хабаровский край» Дегтярев поднял вопрос миграции населения с Дальнего Востока и заявил, что постоянные разговоры на эту тему только вредят и еще больше вынуждают хабаровчан покидать родные места, поэтому подобные обсуждения следует запретить на уровне краевого правительства. Идиотизм сотого левела, впрочем, мы уже к таким факапам в его исполнении привыкли. 
🔹Якутия (глава Николаев). Николаев работает в Мирнинском районе региона – вчера осматривал объекты электросетевого хозяйства в поселках Чернышевский и Светлый, сегодня же примет участие в заседании хозяйственного актива «Алросы». Ждем новостей из алмазного края…
🔹Сахалинская область (губернатор Лимаренко). Лавры Якутии как «IT-передовика» Дальнего Востока не дают покоя Лимаренко – поэтому он решил составить Николаеву конкуренцию и объявил, что в Южно-Сахалинске откроется первое пространство в сфере высоких технологий «IT-парк Сахалин». На площади в 500 квадратных метров разместятся до 10 начинающих компаний с общей численностью сотрудников до 100 человек. Конечно же, коворкинг, ИТ-академия и прочие «современные бизнес-тренды»."
497;20.05.2021;"Всероссийская перепись населения пройдет в октябре, а не в сентябре, как это планировалось. Президент Путин согласился с предложением «Единой России»  перенести сроки, чтобы перепись не пересекалась с предвыборной кампанией в Думу. И это хорошо. Потому что, как верно отметил Андрей Турчак, переписчики и сотрудники избирательных комиссий – это часто одни и те же люди. Даже в городах так бывает, что говорить про поселки и станицы? Если параллельно проводить два серьезных и значимых мероприятия, риск возникновения шероховатостей, которые постфактум называют «человеческий фактор», может возрасти. А зачем перегружать людей, если можно не перегружать?

Мы тут часто говорим про важность предвыборной кампании и признаем выборы значимым событием года. Однако перепись населения не менее важна. Особенно для региона с таким уровнем миграции, как в Краснодарском крае. Так что пусть сначала пройдут выборы, а уж потом мы спокойно ответим на вопросы переписи."
498;19.05.2021;"Недавно Бастрыкин описал типичного протестующего в Питере – сторонника Навального: безработные, приезжие и школота. Такой портрет не понравился оппозиции, так, Соболь уже поспешила отчитаться, что все совсем не так, и за них выходят 27-летние образованные люди с доходом до 200 тысяч рублей. 

Что ж, обрисованный ей портрет еще более спорен: получается, что их аудитория – зажравшиеся бездельники, которые получают значительно больше рядового россиянина и все чем-то недовольны. Чем? Может, тем, что кофе в «Старбаксе» уже не тот? Или айфоны перестали быть роскошью. Кто же поймет, что им еще надо."
499;19.05.2021;"Испания продолжает переживать вторжение нелегалов.

Мигранты из Марокко вторгаются в страну через море. В городок Сеута с населением 85 тысяч человек за одни сутки прибыли более 5 тысяч человек. На помощь брошены военные

@truekpru"
500;19.05.2021;"Властям Испании удалось вернуть на родину около 4 тысяч нелегальных мигрантов из Марокко, которые оккупировали город Сеута, сообщили в МВД. 

Всего за сутки в город с населением около 85 тысяч приплыли более 5 тысяч человек. Чтобы справиться с таким наплывом нелегалов, властям пришлось привлечь армию. 

https://t.me/ntvnews/80398"
501;18.05.2021;"​А знали ли вы, что, 19 мая, то есть завтра, по всей США пройдут забастовки работников Макдональдс, главным требованием которых, является — повышение заработной платы до 15 долларов в час. Ах, вот она, красивая, сытая Америка, полная возможностей, где все люди, даже из рабочего класса, довольны своим уровнем жизни...

Никак не пойму, среди крупнейших городов, где пройдут забастовки, значатся например так любимые многими СНГ мигрантами Лос-Анджелес и Майами. Какого хуя? А как же так? Неужели этим дурацким сотрудникам не достаточно того, что они живут на лазурном береге и каждый день, после работы могут сходить на пляж или прогуляться в красивом парке по соседству? Неужели всё-таки деньги важнее, чем красивый город или страна?

Сейчас Макдак платит своим сотрудникам «щедрые» $7.5 в час и как говорится: отвали моя черешня, поэтому БУНТ на корабле организован сотрудниками, которые являются активистами американского национального движения «Fight for $15» (Борьба за 15 долларов). Вот это я понимаю, тупоголовые фанатики говорят мне что в США все живут хорошо, а тем временем в стране есть целое движение, требованием которого является, будем честны, смехотворные 15 баксов и даже этого, американские ГИГАНТЫ не в состоянии удовлетворить вот уже который год. Байден кстати кинул обещание народу, мол к 2025 году вся страна будет получать заветные 15 как минималку. Ставлю на то, что он пиздит и нихуя не реализует.

Еще более забавная инфа прошла от Vice, которые получили инфу от инсайдеров Мака, что мол в топ-менеджменте конторы всеми этими забастовками и требованиями охуенно недовольны, а так же, по их поручению, создан отдел, который отслеживает социальные сети сотрудников, которые вступили в эту сраную «Fight for $15», дабы корректировать популяцию таких ребят. На официальные запрос в Макдаке ответили и назвали отчет: «неточным и вводящим в заблуждение». Короче, пидоры они там все, максимум прибыли, минимум расходов. И люди не люди для них, такой же расходный материал. И поверьте, это явление совершенно не зависит от страны, более того, этот подход пришёл к нам в Россию как раз из США."
502;17.05.2021;"👫Толпа мигрантов перекрыла движение в Путилково

Люди стоят в очереди в миграционный центр с 3 часов утра. Они спешат встать на учет, так как с 15 июня Россия может депортировать всех нелегалов."
503;17.05.2021;Глава Приамурья обсудил трудовую миграцию с делегацией из Узбекистана.
504;17.05.2021;"В Красногорском округе очередь из мигрантов заблокировала движение.

Эти дамы и господа пришли к миграционному центру, чтобы встать на учет — 15 июня истекает мораторий на высылку незарегистрированных мигрантов из России. 

К ажиотажу в центре оказались не совсем готовы, но пока все проходит чинно и благопристойно, полиция довольна поведением собравшихся

@truekpru"
505;17.05.2021;"На акции протеста в основном выходят 14-15-летние школьники, которым «нужна движуха», а также приезжие и безработные, заявил глава СК Александр Бастрыкин

https://echo.msk.ru/news/2839418-echo.html"
506;17.05.2021;✔️​Враждебный пограничный режим Британии по отношению к потенциальным мигрантам из ЕС больно бьёт по тем, кто приезжает из Евросоюза. Малейшего подозрения в том, что кто-то может въехать в Великобританию для работы, часто бывает достаточно, чтобы его отправили в центр временного содержания иностранных граждан, а затем выслали туда, откуда они прибыли. По словам последних, жалобы со стороны родственников и принимающих семей в Великобритании либо остаются без ответа, либо игнорируются Министерством внутренних дел и некоторыми местными депутатами. Так, например, итальянский консультант Национальной службы здравоохранения (NHS) Великобритании Джузеппе Пикьерри, проработавший в этом ведомстве 15 лет, рассказал о пережитом ужасе, когда его племянница приехала из Италии с коротким визитом, но оказалась в окружённом колючей проволокой центре временного содержания. По словам Пикьерри, 17 апреля он несколько часов провёл в аэропорту Хитроу с четырёхлетней дочерью в ожидании своей 24-летней племянницы Марты Ломартире. Они стояли с воздушными шарами и плакатами, но девушка так и не появилась. Как выяснилось, её остановили, допросили, а потом вынесли решение о высылке и поместили её на ночь в центр временного содержания. О произошедшем он узнал уже по возвращении домой, когда ему посреди ночи позвонили и сообщили о том, где находится его родственница. ​ Пикьерри, зная об ограничениях на поездки, связанных с COVID-19, Джузеппе предоставил ей письмо, в котором говорилось, что она может приехать и остаться в качестве помощницы по хозяйству. Однако он не знал, что после брексита работать, - неважно, за деньги или нет, - без визы недопустимо.
507;15.05.2021;✔️Администрация Белого дома сообщила, что президент США Дж.Байден отменил семь указов бывшего американского лидера Дональда Трампа. В частности Байден своим распоряжением прекратил действие указа о защите американских памятников, который был принят на фоне волны сносов памятников героям колониальной эпохи в ходе протестов против расизма. Помимо этого, президент прекратил действие акта о предотвращении цензуры в интернете. Помимо этого, Байден отменил указ Трампа о праве иммиграционных служб отказывать в виде на жительство, если мигрант мог стать «бременем» для налогоплательщиков из-за неспособности самостоятельно оплатить расходы на медицину. Отмечается, что, по словам американского лидера, «это не продвигает интересы США». Дж.Байден также отменил еще нескольких указов, многие из которых были подписаны Трампом незадолго до прекращения его срока. Странно, что это произошло только сейчас, т.к. цензура в интернете и соцсетях активно применялась с момента прихода к власти новой администрации (вспомним хотя бы блокирование информации о похождениях Хантера - сына Дж.Байдена, которая потом все равно подтвердилась). Новый кабинет также поощрял и поощряет массовый приток мигрантов в страну с первых дней работы. Снос памятников генералам-южанам является спорным вопросом, однако учитывая максимализм сторонников «расовой справедливости», после отмены соответствующего указа также могут пострадать памятники и другим деятелям, только на том основании, что они были белыми.
